1393 835
25 895 824
658 924 474 227 758 853 277
2688 298 827
4151 370
173 7 742
3778 176
331 924 279 827
342 15
3550 370 279
2078 827 824
1088 269
479 343
727 152
4150 924
976 924
3007 298
2805 298 370
3867 370
1536 827
1299 6
2420 370
4136 298
1988 824
2409 95 221 924
2101 370
2470 827 467 623 280
1961 352 345 824
4245 50
2174 370 306
2915 924 474
2954 287 840 81
3761 298 906
2583 370 924
1278 824 825 410
4173 298
3820 370
2298 827
67 562
1490 298
221 296 884 274 827 279
3470 298 370 279
1609 588
3423 50 924
4077 370
88 427
2342 370 705
2301 924
3505 523
4101 49
2985 370
2111 370 524
4277 370
4095 370
2715 366
1143 299
397 204
1598 6
1488 112 114 115 116 653
2584 504
3058 370 567
1398 824 825
2321 278
1096 827
3260 370 605
1350 854
2114 824
979 916
283 298 827 216 374
1298 370 451
898 827
3907 352
3801 370 321 924
3574 370 924
613 442 630
3235 370
3996 370
2080 370
423 231
3698 524
4450 370
3095 827
839 370
500 304
2117 370
1691 824 825
549 231
557 177
2221 825
1662 370 339 918
4207 370
218 695 194
2459 370 864
1512 827 471
1138 266
209 787
2569 50
2077 827
2091 370
550 279 827 306
1424 824 825
4226 370 904
1769 370 578
948 279 827
2794 524
3029 370
532 158
3938 924
2629 370 827
3128 370 325
3844 524
2817 827 345
639 75
4345 370
3892 370
0 918
3206 370 849
4408 370
4143 370
1862 34 190 483 201
3291 370 924
247 169
2023 827
2303 370
1720 253
2949 370
2879 370
3575 298 906
1666 370 827
1752 370 449
2500 370 122
2480 50
3065 727
3543 524
4007 370
4020 370
278 285 632
952 442 443
3340 524
2053 827 824
2986 370
1507 231
1588 298 370 339 279
3119 53 45
2247 139 345
4237 370
4178 298
4472 273 527
2283 824
155 370
3566 298
985 918 717
4338 370
1634 824 825
1684 298 339 343 111 48
981 370 280
2028 370
1736 824 825
2154 924 474 279 122
1744 370 827
2432 815
2550 751
3603 298 370
1891 437 370 904 866
1833 370 639
4300 50
1457 53 279 45
1509 345 824 825
1395 370
4049 370
2996 95 370
1499 581
700 232
2123 437
644 231
2580 370
1405 279 824 825
929 370
4047 370
2276 827
2983 370
246 370 340
4373 370
2282 474 546 908
923 924 279
3154 827
1185 45 824 52 453 44
268 211
669 231
2228 824
1941 50
2415 924
3159 370 325 45 480
3010 50 45
2425 370
648 645 644
543 466
3364 50 357
2897 366
2994 274 786
259 331
1551 467
2787 827
927 370 325 610 360 367 361
612 370
1543 474
1023 279
3311 370 924
1152 279 827
219 378
3866 370
485 885
3193 370
1962 827 363
258 370 367 707
3572 370
386 231
847 370
3179 50 370
2124 827
3131 298
1477 53 387 240 511
3542 370
3341 370
553 827 279 483 332
1233 357 364 690
1924 370 827 306
1983 824
3509 370 866
3153 524
3312 298
1095 415
3613 370
2118 699 272
1320 824
1807 929
507 370 891
7 631
3774 370 924
2521 221
2656 104
3682 545
4075 370
1450 347
2069 370 904 827 878
378 231
3705 370
2096 50
678 231
773 134
1873 924 474 454 549
1011 827 112 374
2287 279 824
2833 298 370 325 878
4390 370
3396 524
65 77 279 827 924 483
3744 370
3789 545
3654 727 279
4184 370
679 611
2405 352
1878 370 924
781 231
3329 524
627 714
3674 370
1965 370
2098 345 824 825
4032 370
2655 370
883 279 45 827 226 571
1091 924 474
382 231
1872 273 370
3911 370
276 860
3062 370
31 924
4378 370
4252 298
3551 370
610 231
570 924 279 370 306
2453 370
343 725
2429 370 321 279
2647 65
2542 279 882
3756 50 370 279
4027 370 924
4439 370
1777 370 866
1909 699 824
1860 824 825
1135 21
2600 298 221 827 797 878
1537 804
4174 50
2244 824
841 231
1600 370
3105 370
2440 370 745
1517 370 53 392 365 372
965 824
3822 370
528 924
176 188
1621 854
422 66
4280 370
4005 370
2515 827 724
1377 345 824
572 827
1782 924
2844 370
288 294
1886 824 825
1902 139
3256 605 323
2251 827
2207 463
2598 370
2104 64
3241 366
2127 370 597
2090 924 570
2337 699 139
383 231
3830 50
370 231
2392 370
2319 139 708
2535 899
4294 370 933
3687 370
1105 443
2369 370 827
3328 370
3189 370
1749 370 306
141 671
4132 370
491 436
2216 824
2948 924
198 301
3519 370
4388 370
4359 370
1171 924 694 693
1226 924 474
3894 370
1422 497 193 824 716 90 825 666 283 771 637
3656 924
1885 111
4124 370
2159 827
195 897 702
1556 370 846 588 673
3802 370
874 22 684 218
3869 370
4063 370 924
3434 298 50 924
1251 827
840 370
2486 601 570
581 515
3715 625
1641 50 345 364
1746 370 503
1786 370
905 279 824
631 780
3797 370 827
1729 827
162 824
2567 339 359 392
2323 827
3981 370 924
2011 306
617 601 502
3901 370
1431 345 824 825
925 936
3452 370 906
547 672
2014 269 124
4080 298
3904 370
1566 306
1592 824
1861 824 825
4473 370
2005 370 386 363 112 922
3919 370
2596 370 827
611 700
1336 471 693
3164 366
640 231
930 370
2417 370 15
3438 575
742 231
637 454 442
3245 370
3653 370
3564 924
3809 370 321
2512 370
2416 357
1097 298 279 4
3941 370 325
48 231
4313 370
2305 617
921 924
2917 370
546 497
2971 366
756 112 215
3076 370
2920 924
3871 524
2164 139
4290 370
1642 370 827
3454 924
2310 827
3727 370
2889 827
2331 139 752
4463 298
836 827 279 442 924 677 758
2245 396
3382 723
3002 497
4189 298
2015 139
3570 370
1582 370 924 852
3565 370
2067 370 124
1070 370
